教材,年级,册别,单元,单词,中文释义,音标,词性
外研版,七年级,下册,1,chocolate,巧克力，朱古力,/ˈtʃɒklət/,n.
外研版,七年级,下册,1,factory,工厂，制造厂,/ˈfæktri/,n.
外研版,七年级,下册,1,exciting,令人兴奋的；使人激动的；刺激的,/ɪkˈsaɪtɪŋ/,adj.
外研版,七年级,下册,1,magical,奇异的，美妙的，迷人的,/ˈmædʒɪkl/,adj.
外研版,七年级,下册,1,town,镇，城镇，市镇,/taʊn/,n.
外研版,七年级,下册,1,poor,贫穷的，贫困的,/pɔː/,adj.
外研版,七年级,下册,1,watery,（食物）稀薄的，含水太多的；（饮料）味淡的,/ˈwɔːtəri/,adj.
外研版,七年级,下册,1,cabbage,卷心菜，洋白菜，甘蓝,/ˈkæbɪdʒ/,n.
外研版,七年级,下册,1,freezing,极冷的，严寒的,/ˈfriːzɪŋ/,adj.
外研版,七年级,下册,1,become,变成，变得,/bɪˈkʌm/,v.
外研版,七年级,下册,1,touch,感动，触动，打动,/tʌtʃ/,v.
外研版,七年级,下册,1,sunless,无阳（日）光的,/ˈsʌnləs/,adj.
外研版,七年级,下册,1,reason,原因，理由,/ˈriːzn/,n.
外研版,七年级,下册,1,everything,每件事物；所有事物,/ˈevriθɪŋ/,pron.
外研版,七年级,下册,1,rich,有钱的，富有的,/rɪtʃ/,adj.
外研版,七年级,下册,1,chess,国际象棋,/tʃes/,n.
外研版,七年级,下册,1,bath,给……洗澡,/bɑːθ/,v.
外研版,七年级,下册,1,basket,篮子；篓子；筐子,/ˈbɑːskɪt/,n.
外研版,七年级,下册,1,princess,公主,/prɪnˈses/,n.
外研版,七年级,下册,1,example,例子,/ɪɡˈzɑːmpl/,n.
外研版,七年级,下册,1,experience,经验；经历,/ɪkˈspɪəriəns/,n.
外研版,七年级,下册,1,believe,认为,/bɪˈliːv/,v.
外研版,七年级,下册,1,survey,调查,/ˈsɜːveɪ/,n.
外研版,七年级,下册,1,instruction,命令，指示,/ɪnˈstrʌkʃn/,n.
外研版,七年级,下册,1,empty,空的,/ˈempti/,adj.
外研版,七年级,下册,1,happen,发生,/ˈhæpən/,v.
外研版,七年级,下册,1,presentation,报告,/ˌpreznˈteɪʃn/,n.
